player_name,stat_type,prizepicks_line,underdog_line,average_line,higher_price_ud,lower_price_ud,headshot,date,updated_at
Erik Van Rooyen,Tourney Finishing Position,,20.5,20.5,N/A,-162,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1330a2ae-16d0-433f-8382-e26cdce78ac7.png,8/9/2026,2026-08-09T11:36:00.388614Z
Harry Hall,Birdies Or Better,,4.5,4.5,+114,-141,https://assets.underdogfantasy.com/player-images/pga/20260218_23-be5be8d0-b561-4d0e-ac4a-90275f2f979f.png,8/9/2026,2026-08-09T11:36:00.388619Z
Harry Hall,Bogeys or Worse,,2.5,2.5,-145,+118,https://assets.underdogfantasy.com/player-images/pga/20260218_23-be5be8d0-b561-4d0e-ac4a-90275f2f979f.png,8/9/2026,2026-08-09T11:36:00.388623Z
Harry Hall,Fairways Hit,,8.5,8.5,-114,-108,https://assets.underdogfantasy.com/player-images/pga/20260218_23-be5be8d0-b561-4d0e-ac4a-90275f2f979f.png,8/9/2026,2026-08-09T11:36:00.388628Z
Harry Hall,Greens In Regulation,13,12.5,12.8,-143,+116,https://assets.underdogfantasy.com/player-images/pga/20260218_23-be5be8d0-b561-4d0e-ac4a-90275f2f979f.png,8/9/2026,2026-08-09T11:36:00.388632Z
Harry Hall,Pars,11,,11,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Harry_Hall_GOLF_player_qZadvjJ7McxjgFb6s6rgF5tJ-450.webp,8/9/2026,2026-08-09T11:36:00.388636Z
Harry Hall,Round Strokes,,68.5,68.5,-136,+111,https://assets.underdogfantasy.com/player-images/pga/20260218_23-be5be8d0-b561-4d0e-ac4a-90275f2f979f.png,8/9/2026,2026-08-09T11:36:00.388640Z
Harry Hall,Strokes,68.5,,68.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Harry_Hall_GOLF_player_qZadvjJ7McxjgFb6s6rgF5tJ-450.webp,8/9/2026,2026-08-09T11:36:00.388644Z
Harry Hall,Tourney Finishing Position,,10.5,10.5,N/A,+112,https://assets.underdogfantasy.com/player-images/pga/20260218_23-be5be8d0-b561-4d0e-ac4a-90275f2f979f.png,8/9/2026,2026-08-09T11:36:00.388649Z
Hayden Springer,Tourney Finishing Position,,20.5,20.5,N/A,+377,https://assets.underdogfantasy.com/player-images/pga/20250605_09-1de80c2c-a08e-433b-9133-2bacd9dacd73.png,8/9/2026,2026-08-09T11:36:00.388654Z
Hideki Matsuyama,Birdies or Better Matchup,0.5,,0.5,n/a,n/a,https://static.prizepicks.com/images/manual/Hideki.png,8/9/2026,2026-08-09T11:36:00.388659Z
Hideki Matsuyama,Birdies Or Better,5,4.5,4.8,-152,+124,https://assets.underdogfantasy.com/player-images/pga/20260218_23-d45bcf4a-5803-4b0b-ab6c-6427a76cecf7.png,8/9/2026,2026-08-09T11:36:00.388663Z
Hideki Matsuyama,Bogeys or Worse,,2.5,2.5,+114,-141,https://assets.underdogfantasy.com/player-images/pga/20260218_23-d45bcf4a-5803-4b0b-ab6c-6427a76cecf7.png,8/9/2026,2026-08-09T11:36:00.388668Z
Hideki Matsuyama,Fairways Hit,,9.5,9.5,+118,-145,https://assets.underdogfantasy.com/player-images/pga/20260218_23-d45bcf4a-5803-4b0b-ab6c-6427a76cecf7.png,8/9/2026,2026-08-09T11:36:00.388672Z
Hideki Matsuyama,Greens In Regulation,13.5,13.5,13.5,+108,-134,https://assets.underdogfantasy.com/player-images/pga/20260218_23-d45bcf4a-5803-4b0b-ab6c-6427a76cecf7.png,8/9/2026,2026-08-09T11:36:00.388677Z
Hideki Matsuyama,Pars,11,,11,n/a,n/a,https://static.prizepicks.com/images/manual/Hideki.png,8/9/2026,2026-08-09T11:36:00.388681Z
Hideki Matsuyama,Round Strokes,,67.5,67.5,-114,-108,https://assets.underdogfantasy.com/player-images/pga/20260218_23-d45bcf4a-5803-4b0b-ab6c-6427a76cecf7.png,8/9/2026,2026-08-09T11:36:00.388685Z
Hideki Matsuyama,Strokes,67.5,,67.5,n/a,n/a,https://static.prizepicks.com/images/manual/Hideki.png,8/9/2026,2026-08-09T11:36:00.388689Z
Hideki Matsuyama,Tourney Finishing Position,,10.5,10.5,N/A,+103,https://assets.underdogfantasy.com/player-images/pga/20260218_23-d45bcf4a-5803-4b0b-ab6c-6427a76cecf7.png,8/9/2026,2026-08-09T11:36:00.388694Z
Jackson Koivun,Birdies or Better Matchup,0.5,,0.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Jackson_Koivun_GOLF_player_P0UPETd7wUaJ5l8ZN7HjjzdV-450.webp,8/9/2026,2026-08-09T11:36:00.388699Z
Jackson Koivun,Birdies Or Better,5,4.5,4.8,-152,+123,https://assets.underdogfantasy.com/player-images/pga/20250612_06-8169868c-7b2c-45ff-a9fa-4628f463845a.png,8/9/2026,2026-08-09T11:36:00.388703Z
Jackson Koivun,Bogeys or Worse,2,2.5,2.3,+126,-154,https://assets.underdogfantasy.com/player-images/pga/20250612_06-8169868c-7b2c-45ff-a9fa-4628f463845a.png,8/9/2026,2026-08-09T11:36:00.388708Z
Jackson Koivun,Fairways Hit,,9.5,9.5,-132,+108,https://assets.underdogfantasy.com/player-images/pga/20250612_06-8169868c-7b2c-45ff-a9fa-4628f463845a.png,8/9/2026,2026-08-09T11:36:00.388712Z
Jackson Koivun,Greens In Regulation,13,13.5,13.3,+126,-154,https://assets.underdogfantasy.com/player-images/pga/20250612_06-8169868c-7b2c-45ff-a9fa-4628f463845a.png,8/9/2026,2026-08-09T11:36:00.388716Z
Jackson Koivun,Pars,11,,11,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Jackson_Koivun_GOLF_player_P0UPETd7wUaJ5l8ZN7HjjzdV-450.webp,8/9/2026,2026-08-09T11:36:00.388720Z
Jackson Koivun,Round Strokes,,67.5,67.5,-109,-113,https://assets.underdogfantasy.com/player-images/pga/20250612_06-8169868c-7b2c-45ff-a9fa-4628f463845a.png,8/9/2026,2026-08-09T11:36:00.388724Z
Jackson Koivun,Strokes,67.5,,67.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Jackson_Koivun_GOLF_player_P0UPETd7wUaJ5l8ZN7HjjzdV-450.webp,8/9/2026,2026-08-09T11:36:00.388728Z
Jackson Koivun,Tourney Finishing Position,,10.5,10.5,N/A,+173,https://assets.underdogfantasy.com/player-images/pga/20250612_06-8169868c-7b2c-45ff-a9fa-4628f463845a.png,8/9/2026,2026-08-09T11:36:00.388733Z
Jackson Suber,Birdies Or Better,,4.5,4.5,+105,-129,https://assets.underdogfantasy.com/player-images/pga/20260224_23-da8b4888-9330-46d0-8f8a-f76fae949dba.png,8/9/2026,2026-08-09T11:36:00.388738Z
Jackson Suber,Round Strokes,,68.5,68.5,-112,-112,https://assets.underdogfantasy.com/player-images/pga/20260224_23-da8b4888-9330-46d0-8f8a-f76fae949dba.png,8/9/2026,2026-08-09T11:36:00.388742Z
Jackson Suber,Strokes,68.5,,68.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Jackson_Suber_GOLF_player_YkrI27Dn1iSx3v3cp5UQ8jRQ-450.webp,8/9/2026,2026-08-09T11:36:00.388746Z
Jackson Suber,Tourney Finishing Position,,20.5,20.5,N/A,+127,https://assets.underdogfantasy.com/player-images/pga/20260224_23-da8b4888-9330-46d0-8f8a-f76fae949dba.png,8/9/2026,2026-08-09T11:36:00.388751Z
Joe Highsmith,Tourney Finishing Position,,20.5,20.5,N/A,+642,https://assets.underdogfantasy.com/player-images/pga/20250527_06-423d212b-6260-4c7f-b0db-d2c365648f12.png,8/9/2026,2026-08-09T11:36:00.388755Z
Joel Dahmen,Birdies Or Better,4,4.5,4.3,+133,-164,https://assets.underdogfantasy.com/player-images/pga/20260224_22-e8860c1b-85bf-4997-8f60-cf8681935219.png,8/9/2026,2026-08-09T11:36:00.388760Z
Joel Dahmen,Round Strokes,,68.5,68.5,-125,+102,https://assets.underdogfantasy.com/player-images/pga/20260224_22-e8860c1b-85bf-4997-8f60-cf8681935219.png,8/9/2026,2026-08-09T11:36:00.388764Z
Joel Dahmen,Strokes,68.5,,68.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Joel_Dahmen_GOLF_player_qZv48Md4zA1IguLWLfWz7rR-450.webp,8/9/2026,2026-08-09T11:36:00.388768Z
Joel Dahmen,Tourney Finishing Position,,20.5,20.5,N/A,+146,https://assets.underdogfantasy.com/player-images/pga/20260224_22-e8860c1b-85bf-4997-8f60-cf8681935219.png,8/9/2026,2026-08-09T11:36:00.388773Z
John Parry,Tourney Finishing Position,,20.5,20.5,N/A,+455,https://assets.underdogfantasy.com/player-images/pga/20260224_22-9786a2d1-21b0-4086-957b-8ca089562614.png,8/9/2026,2026-08-09T11:36:00.388777Z
Jordan L. Smith,Birdies Or Better,4.5,,4.5,n/a,n/a,https://static.prizepicks.com/images/manual/Jordan_Smith.png,8/9/2026,2026-08-09T11:36:00.388782Z
Jordan L. Smith,Bogeys or Worse,2.5,,2.5,n/a,n/a,https://static.prizepicks.com/images/manual/Jordan_Smith.png,8/9/2026,2026-08-09T11:36:00.388787Z
Jordan L. Smith,Pars,11,,11,n/a,n/a,https://static.prizepicks.com/images/manual/Jordan_Smith.png,8/9/2026,2026-08-09T11:36:00.388791Z
Jordan L. Smith,Strokes,68,,68,n/a,n/a,https://static.prizepicks.com/images/manual/Jordan_Smith.png,8/9/2026,2026-08-09T11:36:00.388795Z
Jordan Smith,Birdies Or Better,,4.5,4.5,-104,-118,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1b5f26e5-c53d-44e3-b551-fd0284ab59b7.png,8/9/2026,2026-08-09T11:36:00.388799Z
Jordan Smith,Bogeys or Worse,,2.5,2.5,-102,-122,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1b5f26e5-c53d-44e3-b551-fd0284ab59b7.png,8/9/2026,2026-08-09T11:36:00.388804Z
Jordan Smith,Fairways Hit,,9.5,9.5,-137,+112,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1b5f26e5-c53d-44e3-b551-fd0284ab59b7.png,8/9/2026,2026-08-09T11:36:00.388808Z
Jordan Smith,Greens In Regulation,,13.5,13.5,-143,+116,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1b5f26e5-c53d-44e3-b551-fd0284ab59b7.png,8/9/2026,2026-08-09T11:36:00.388827Z
Jordan Smith,Round Strokes,,68.5,68.5,-107,-115,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1b5f26e5-c53d-44e3-b551-fd0284ab59b7.png,8/9/2026,2026-08-09T11:36:00.388832Z
Jordan Smith,Tourney Finishing Position,,10.5,10.5,N/A,-132,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1b5f26e5-c53d-44e3-b551-fd0284ab59b7.png,8/9/2026,2026-08-09T11:36:00.388836Z
Jordan Spieth,Birdies Or Better,4.5,4.5,4.5,-105,-118,https://assets.underdogfantasy.com/player-images/pga/20260407_04-3e4963cb-6e80-4393-85cf-2aecec453c4a.png,8/9/2026,2026-08-09T11:36:00.388841Z
