player_name,Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course,updated_at
Ben Kohles,Ben Kohles,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/451327.png,1907,44134929,Biltmore Championship Asheville,9/17/2026,7700,87.53,14.35,0.6655,0.3345,5570.6 (0.02),1130.6 (0.08),510.4 (0.16),234.8 (0.30),8:18:36 AM,EL,2026-09-17T22:13:00.195097Z
Paul Casey,Paul Casey,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1039.png,1859,43867165,LIV Golf Indianapolis,8/20/2026,7700,19.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195100Z
Paul Casey,Paul Casey,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/1039.png,1859,43867165,LIV Golf Indianapolis,8/20/2026,7700,19.9,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195102Z
Max Greyserman,Max Greyserman,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/451990.png,510213,44134930,Biltmore Championship Asheville,9/17/2026,7600,81,6.49,0.6437,0.3563,6113.0 (0.02),1207.5 (0.08),569.2 (0.15),263.2 (0.28),9:13:36 AM,EL,2026-09-17T22:13:00.195104Z
Billy Horschel,Billy Horschel,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/915.png,1725,44134931,Biltmore Championship Asheville,9/17/2026,7600,80.9,14.84,0.6609,0.3391,4687.3 (0.02),984.2 (0.09),473.3 (0.17),222.7 (0.31),8:40:36 AM,EL,2026-09-17T22:13:00.195106Z
Mackenzie Hughes,Mackenzie Hughes,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/635.png,552,44134932,Biltmore Championship Asheville,9/17/2026,7600,83.01,4.07,0.6359,0.3641,6383.1 (0.02),1229.7 (0.08),575.8 (0.15),262.7 (0.28),9:02:36 AM,EL,2026-09-17T22:13:00.195108Z
Josele Ballester,Josele Ballester,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,773808,43867166,LIV Golf Indianapolis,8/20/2026,7600,19.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195111Z
Sergio Garcia,Sergio Garcia,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/981.png,780,43867167,LIV Golf Indianapolis,8/20/2026,7600,19.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195114Z
Josele Ballester,Josele Ballester,Classic: LIV,https://dkn.gs/sports/images/countries/50/spain.png,773808,43867166,LIV Golf Indianapolis,8/20/2026,7600,19.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195116Z
Sergio Garcia,Sergio Garcia,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/981.png,780,43867167,LIV Golf Indianapolis,8/20/2026,7600,19.7,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195118Z
Stephan Jaeger,Stephan Jaeger,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/821.png,2044,44134933,Biltmore Championship Asheville,9/17/2026,7500,86.61,5.19,0.6306,0.3694,7237.2 (0.01),1345.8 (0.07),596.7 (0.14),265.5 (0.27),8:29:36 AM,EL,2026-09-17T22:13:00.195120Z
Ricky Castillo,Ricky Castillo,Classic: Biltmore Championship,https://dkn.gs/sports/images/golf/players/50/514324.png,702801,44134934,Biltmore Championship Asheville,9/17/2026,7500,90.78,5.08,0.6454,0.3546,6231.9 (0.02),1212.2 (0.08),575.8 (0.15),265.5 (0.27),1:30:36 PM,EL,2026-09-17T22:13:00.195122Z
Zachary Bauchou,Zachary Bauchou,Classic: Biltmore Championship,https://dkn.gs/sports/images/countries/50/united_states.png,689973,44134935,Biltmore Championship Asheville,9/17/2026,7500,74.41,7.27,0.6259,0.3741,7037.9 (0.01),1378.8 (0.07),633.3 (0.14),286.4 (0.26),8:07:36 AM,EL,2026-09-17T22:13:00.195125Z
Talor Gooch,Talor Gooch,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/527.png,729,43867168,LIV Golf Indianapolis,8/20/2026,7500,19.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195127Z
Bubba Watson,Bubba Watson,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/637.png,411,43867169,LIV Golf Indianapolis,8/20/2026,7500,19.5,0,0.5,0.5,,,,,,,2026-09-17T22:13:00.195129Z
