ID,Player Name,Stat Value,Stat Description,Higher Price,Lower Price,Sport ID,Match Title,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Weather Condition,Weather Temperature,Away Team Probable Starting Pitcher,Away Team Probable Starting Pitcher Hand,Home Team Probable Starting Pitcher,Home Team Probable Starting Pitcher Hand,Broadcasts,Player Position Display Name,Player Position Name,Player Image URL,Appearance Badge Text,Appearance Badge Label,Appearance Badge Value,Match Date
8ca175a1-3d5b-4153-a259-b9510e911e67,Justin Thomas,10.5,R2 Leaderboard Position,N/A,+800,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
17124988-3d7d-4be2-b008-72cd968b89cc,Justin Thomas,0.5,Eagles or Better,+614,N/A,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
f45c671b-b7f8-4a21-a3c5-fba0e4c6e863,Viktor Hovland,68.5,Round Strokes,-107,-115,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
5b6278de-c472-48c0-afcb-b23c2fa1adba,Viktor Hovland,20.5,Tourney Finishing Position,N/A,-120,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
8888f756-5b15-4ba5-b77f-2f9531288ec0,Viktor Hovland,4.5,Birdies or Better,+144,-179,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
a0acd875-0886-4ac9-8a20-78beabd6663e,Viktor Hovland,10.5,Greens in Regulation,-137,+112,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
35a530ac-08b9-40f0-9870-7df8a9ea0256,Viktor Hovland,8.5,Fairways Hit,+108,-132,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
28694606-ca1b-46b3-911c-389008e85c3a,Viktor Hovland,2.5,Bogeys or Worse,-112,-110,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
4768fb22-c3d6-4400-9a76-183f5ea298d4,Viktor Hovland,10.5,R2 Leaderboard Position,N/A,+259,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
30ae6350-83c6-4dab-b0fa-b968055e51a9,Viktor Hovland,0.5,Eagles or Better,+637,N/A,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:45:00Z,Fri 01:45pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-965d925a-5ecd-409c-beb7-a34ef1ca52f3.png,N/A,N/A,N/A,8/14/2026
0786802b-a7d9-46f4-aa0f-1c475c6855da,Jordan Spieth,69.5,Round Strokes,+111,-136,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:10:00Z,Fri 12:10pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260407_04-3e4963cb-6e80-4393-85cf-2aecec453c4a.png,N/A,N/A,N/A,8/14/2026
ff5e3e3f-1444-4d03-8685-9a505302a1e0,Ludvig Åberg,68.5,Round Strokes,+111,-136,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:20:00Z,Fri 12:20pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-4fff3b28-5c2e-4ec3-91d1-696f42638cf4.png,N/A,N/A,N/A,8/14/2026
0a56865a-7959-4134-9bd9-581880495f98,Jordan Spieth,10.5,Tourney Finishing Position,N/A,+135,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:10:00Z,Fri 12:10pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260407_04-3e4963cb-6e80-4393-85cf-2aecec453c4a.png,N/A,N/A,N/A,8/14/2026
3f9c9943-7588-4faf-ae81-596cd81688f0,Ludvig Åberg,10.5,Tourney Finishing Position,N/A,+167,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:20:00Z,Fri 12:20pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-4fff3b28-5c2e-4ec3-91d1-696f42638cf4.png,N/A,N/A,N/A,8/14/2026
30e80b60-cd07-49eb-b1f8-a796499e6197,Jordan Spieth,3.5,Birdies or Better,-159,+128,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:10:00Z,Fri 12:10pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260407_04-3e4963cb-6e80-4393-85cf-2aecec453c4a.png,N/A,N/A,N/A,8/14/2026
025f1468-9ee1-4edc-8232-398076b51921,Ludvig Åberg,4.5,Birdies or Better,+122,-150,PGA,FedEx St. Jude... R2,N/A,2026-08-14T16:20:00Z,Fri 12:20pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20260515_15-4fff3b28-5c2e-4ec3-91d1-696f42638cf4.png,N/A,N/A,N/A,8/14/2026
